country,deleted,description,effective_date,end_date,form_name_classification,legacy_return_name,major,minor,preview_image,purpose,region,revision,scope_level_guess,status,tax_form_code,tax_form_name
US,False,Sales and Use Tax Quarterly Return,2018-01-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,NJST50,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/9d46b3ac-1c34-43f0-9cf0-5516ef6f37ca.png,,NJ,47,likely_state_or_province_level,PRODUCTION,USNJST50,NJ ST50
US,False,Sales and Use Tax Monthly Remittance,2018-11-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,NJST51,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/b52fd05e-ef57-4cfc-8cb5-18c451840c5e.png,,NJ,17,likely_state_or_province_level,PRODUCTION,USNJST51,NJ ST51
US,False,Combined Sales and Use Tax/Urban Enterprise Zones,1900-01-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,NJUZ50,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/a28abef3-8ab5-40cc-83e0-dad45347c580.png,,NJ,10,likely_state_or_province_level,PRODUCTION,USNJUZ50,NJ UZ50
US,False,Long Form Supplemental Combined Report Sysytem,2016-01-01T00:00:00,2021-06-30T00:00:00,likely_official_or_near_official,NMCRS1LONGFORM,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/a108fe71-377d-4aa4-a7e4-e9d3a651d6a6.png,,NM,23,likely_state_or_province_level,PRODUCTION,USNMCRS1LONGFORM,NM CRS1 Long Form
US,False,Compensating Tax Return,2021-01-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,NMTRD41412,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/c50d17cc-2fec-42fe-97be-e9d23be1a9f9.png,,NM,41,likely_state_or_province_level,PRODUCTION,USNMTRD41412,NM TRD 41412
US,False,Gross Receipts Tax Return,2022-07-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,NMTRD41413,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/b8ce318f-7fe3-493c-9fad-bb3da72a41fa.png,,NM,74,likely_state_or_province_level,PRODUCTION,USNMTRD41413,NM TRD 41413
US,False,Telecommunications Relay Service Surcharge Return,2022-04-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,NMTRS1,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/937b38f8-aefa-4741-a8ed-92341d01e914.png,,NM,14,likely_state_or_province_level,PRODUCTION,USNMTRS1,NM TRS1
US,False,Combined Sales and Use Tax Return,2026-01-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,NVTXR01,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/5ec91efe-c932-47fa-81b0-9aa61a9074d8.png,,NV,90,likely_state_or_province_level,PRODUCTION,USNVTXR01,NV TXR01
US,False,Consumer Use Tax Return,2026-01-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,NVTXR02,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/18c0906f-1ce7-4374-b33a-9c074c768e1c.png,,NV,66,likely_state_or_province_level,PRODUCTION,USNVTXR02,NV TXR 02 01
US,False,Sales Tax Quarterly Return for non Part-Quarterly filers,2025-12-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,NYST100,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/eb75592e-c959-418b-90d5-c763388660c9.png,,NY,271,likely_state_or_province_level,PRODUCTION,USNYST100,NY ST100
US,False,State and Local Annual Sales Return,2025-03-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,NYST101,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/f4eb1284-671b-4854-91bc-097d2c18b9e3.png,,NY,181,likely_state_or_province_level,PRODUCTION,USNYST101,NY ST101
US,False,Sales Tax Record of Advance Payment,2018-03-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,NYST330,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/49c5728b-3a71-4631-8d6e-7ee6b67be9aa.png,,NY,15,likely_state_or_province_level,PRODUCTION,USNYST330,NY ST330
US,False,Sales Tax Return for Part Quarterly (Monthly),2026-01-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,NYST809,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/a0cad952-538d-4b44-807e-09c83a804d23.png,,NY,128,likely_state_or_province_level,PRODUCTION,USNYST809,NY ST809
US,False,Sales Tax Quarterly Return for Part Quarterly or PrompTax filers,2025-12-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,NYST810,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/e2369c0b-25db-4b15-8040-ae68c383e907.png,,NY,321,likely_state_or_province_level,PRODUCTION,USNYST810,NY ST810
US,False,Prompt Tax Payments - Electronic Filing and Payment Program,2021-06-01T00:00:00,2021-06-30T00:00:00,likely_official_or_near_official,NYTR682N,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/3fb9aec5-5f1d-488b-aede-e0647287d9b6.png,,NY,16,likely_state_or_province_level,PRODUCTION,USNYTR682N,NY TR682N
US,False,"Universal Ohio State, County and Transit Sales Tax Return",2026-01-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,OHUST1,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/55853bc8-04b1-4182-af65-319c025163a8.png,,OH,146,likely_state_or_province_level,PRODUCTION,USOHUST1,OH UST 1
